1,Corn Maize,32,2016-03-10 5:46:40,2018-11-08 20:41:23,,
3,Wheat,32,2016-03-10 5:47:04,2017-03-16 17:42:31,,
7,Rice,31,2016-03-15 20:59:38,2017-03-16 17:42:14,,
8,Soil Health,31,2016-03-15 21:01:11,2017-12-12 22:31:00,,
9,Soybeans,31,2016-03-15 21:01:47,2018-11-08 20:54:07,,
10,Precision AG ,31,2016-03-15 21:02:34,2016-03-15 21:02:34,,
11,Irrigation,31,2016-03-15 21:02:52,2016-03-15 21:02:52,,
13,Cotton,31,2016-04-01 15:05:20,2017-03-16 17:33:57,,
14,Commodities,31,2016-04-01 18:43:57,2016-05-12 16:33:26,,
15,Markets,31,2016-04-04 20:39:32,2017-01-24 16:00:08,,
17,Sorghum,31,2016-04-05 20:07:03,2016-04-05 20:07:03,,
18,Oats,31,2016-04-05 20:07:16,2016-04-05 20:07:16,,
20,Livestock,31,2016-04-13 18:23:05,2016-04-13 18:23:05,,
21,Dairy,31,2016-04-13 18:23:22,2016-04-13 18:23:22,,
23,Herbicdes,31,2016-05-09 18:12:40,2016-05-09 18:12:40,,
24,Weeds,31,2016-05-09 18:13:13,2017-03-21 18:35:46,,
25,Sugarcane,31,2016-05-09 18:13:46,2016-05-14 20:16:49,,
26,Crawfish,31,2016-05-09 18:14:12,2016-05-09 18:14:12,,
31,Agriculture US,31,2016-05-09 21:21:46,2016-12-09 17:05:33,,
32,Buy & Sell ,31,2016-05-10 13:02:55,2016-05-10 13:02:55,,
33,Pesticides,31,2016-05-12 16:22:52,2016-05-12 16:22:52,,
38,Milling,31,2016-05-14 19:31:29,2016-05-14 19:31:29,,
39,Cover Crops,31,2016-05-14 19:47:41,2018-11-08 20:57:12,,
44,Ryegrass,31,2016-06-09 13:32:44,2016-06-09 13:32:44,,
45,Organic,31,2016-06-14 13:45:54,2018-11-08 20:15:10,,
47,Forestry,31,2016-06-18 15:56:14,2016-06-18 15:56:14,,
50,Coffee,31,2016-07-18 20:55:31,2016-07-18 20:55:31,,
53,Vegetables,31,2016-08-30 13:39:54,2017-03-16 17:42:35,,
54,Crop Consultant,31,2016-08-30 15:59:34,2016-08-30 15:56:44,,
55,Jobs,31,2016-10-10 20:11:12,2016-10-10 20:11:12,,
59,Education U.S. NorthEast,31,2016-12-06 19:32:19,2017-02-12 21:03:45,,
61,Agriculture Global,31,2016-12-09 17:06:04,2016-12-09 17:06:04,,
67,Education U.S. SouthEast,31,2017-02-12 21:06:54,2017-02-12 21:11:26,,
68,Education U.S. MidWest,31,2017-02-12 20:59:55,2017-02-12 21:03:05,,
69,Education U.S. West,31,2017-02-12 21:08:35,2017-02-12 21:08:35,,
70,Education U.S. SouthWest,31,2017-02-12 21:01:39,2017-02-12 21:01:39,,
71,Ethanol,31,2017-02-16 16:40:09,2017-02-16 16:40:09,,
72,Poultry,31,2017-03-21 16:45:40,2017-03-21 16:45:40,,
73,Ag Podcast US,31,2017-09-23 16:36:59,2017-09-25 17:54:30,,
74,Crop Dusting,31,2017-10-05 12:53:02,2017-10-05 12:53:02,,
75,Beekeeping,31,2017-10-14 14:34:40,2017-10-14 14:34:40,,
76,Cocoa,31,2017-11-03 19:17:03,2018-11-08 20:09:34,,
77,Equine,31,2017-11-06 19:11:26,2017-11-06 19:11:26,,
78,Conservation Tools,31,2017-11-17 16:23:53,2017-11-17 16:23:53,,
79,Water,31,2017-11-30 20:36:08,2017-11-30 20:36:08,,
81,Fruit,31,2017-12-12 15:32:28,2018-11-08 20:11:56,,
83,Sheep,31,2017-12-12 15:41:51,2017-12-12 15:41:51,,
84,Hobby Farming,31,2018-01-04 21:46:20,2018-01-04 21:46:20,,
85,Young Farmers,31,2018-01-04 22:08:38,2018-01-04 22:08:38,,
86,Economics,31,2018-01-04 22:06:25,2018-11-08 21:08:37,,
87,Women in Ag,31,2018-01-08 17:03:18,2018-01-08 17:03:18,,
88,Drones UAV,31,2018-01-29 14:56:39,2018-01-29 18:12:56,,
89,Beyond Organic ,31,2018-05-07 16:01:38,2018-05-07 16:13:41,,
90,Cheese,31,2018-06-28 17:38:41,2018-06-28 17:38:41,,
91,Food / Nutrition ,31,2018-07-03 3:49:55,2018-07-03 3:49:55,,
92,Pest Control,31,2018-07-10 13:31:22,2018-07-10 13:31:22,,
93,FFA,31,2018-07-13 21:31:03,2018-11-08 20:08:33,,
94,Food Waste,31,2018-10-02 2:13:04,2018-10-02 2:13:04,,
95,Recycling,31,2018-10-02 14:26:46,2018-10-02 14:26:46,,
96,Gardening,31,2018-10-29 20:34:05,2018-11-08 20:13:44,,
97,Sustainability,31,2018-11-08 20:16:29,2018-11-08 20:16:29,,
98,Fish Farming,31,2018-11-08 20:18:30,2018-11-08 20:18:30,,
99,Fishing (Comercial),31,2018-11-08 20:20:06,2018-11-08 20:20:06,,
100,Beef Cattle,31,2018-11-08 20:24:36,2018-11-08 20:24:36,,
102,Equipment,31,2018-11-08 20:30:24,2018-11-08 20:30:24,,
103,Animal Welfare,31,2018-11-08 20:32:24,2018-11-08 20:32:24,,
104,GMO's,31,2018-11-08 20:32:37,2018-11-08 20:32:37,,
105,Antibiotics,31,2018-11-08 20:33:29,2018-11-08 20:33:29,,
106,Goats,31,2018-11-08 20:34:54,2018-11-08 20:34:54,,
107,Alfalfa,31,2018-11-08 20:35:40,2018-11-08 20:35:40,,
108,Hay,31,2018-11-08 20:36:51,2018-11-08 20:36:51,,
109,Turf,31,2018-11-08 20:37:06,2018-11-08 20:37:06,,
110,Cassava,31,2018-11-08 20:38:28,2018-11-08 20:38:28,,
111,Almonds,31,2018-11-08 20:42:13,2018-11-08 20:42:13,,
112,Crop Diseases,31,2018-11-08 20:44:22,2018-11-08 20:44:22,,
113,Fungicides,31,2018-11-08 20:45:36,2018-11-08 20:45:36,,
114,Insecticides,31,2018-11-08 20:46:29,2018-11-08 20:46:29,,
115,Peanuts,31,2018-11-08 20:47:09,2018-11-08 20:47:09,,
116,Stone Fruit,31,2018-11-08 20:48:09,2018-11-08 20:48:09,,
117,Potatoes,31,2018-11-08 20:48:28,2018-11-08 20:48:28,,
118,Pork,31,2018-11-08 20:51:24,2018-11-08 20:51:24,,Pork should be renamed to Pigs
119,Tobacco,31,2018-11-08 20:52:48,2018-11-08 20:52:48,,
120,Wine,31,2018-11-08 20:54:42,2018-11-08 20:54:42,,
121,Grapes,31,2018-11-08 20:54:52,2018-11-08 20:54:52,,
122,Research,31,2018-11-08 20:55:38,2018-11-08 20:55:38,,
123,CRISPR,31,2018-11-08 20:56:31,2018-11-08 20:56:31,,
124,Fertilizer,31,2018-11-08 20:58:23,2018-11-08 20:58:23,,
125,Transportation,31,2018-11-08 21:02:48,2018-11-08 21:02:48,,
126,Brewing,31,2018-11-08 21:03:55,2018-11-08 21:03:55,,
127,Hydroponics ,31,2018-11-08 21:34:59,2018-11-08 21:34:59,,
128,Environment,31,2018-11-30 16:15:58,2018-11-30 16:15:58,,
130,Ag Global India,31,2018-12-06 16:53:53,2018-12-06 17:00:09,,
131,Ag Global Russia & CIS,31,2018-12-06 20:43:28,2018-12-06 20:43:28,,
132,Ag Global United Kingdom,31,2018-12-06 20:52:02,2018-12-06 21:54:22,,
133,Ag Global Europe,31,2018-12-06 21:11:50,2018-12-06 21:11:50,,
134,Ag Global Specialty Food,31,2018-12-06 21:27:25,2018-12-06 21:27:25,,
135,Ag Global Asia / Pacific,31,2018-12-08 3:03:18,2018-12-08 3:03:18,,
136,Culinary ,31,2018-12-10 20:21:16,2018-12-10 20:21:16,,
137,Genes / Genomes / Genetics,31,2018-12-12 14:31:54,2018-12-12 14:51:15,,
id,name,creator_id,created_at,updated_at,deleted_at,